code,tên bệnh VI,tên bệnh EN,synonym
M24.0,Dị vật nội khớp,Loose body in joint,cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | di vat noi khop
M24.1,Các bệnh sụn khớp khác,Other articular cartilage disorders,cac benh sun khop khac | cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp
M24.2,Bệnh dây chằng,Disorder of ligament,benh day chang | cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | day chang | dây chằng
M24.3,Trật và bán trật bệnh lý của khớp chưa được xếp loại ở mục khác,"Pathological dislocation and subluxation of joint, not elsewhere classified",cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | trat va ban trat benh ly cua khop chua duoc xep loai o muc khac
M24.4,Trật và bán trật khớp tái phát của khớp,Recurrent dislocation and subluxation of joint,cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | trat va ban trat khop tai phat cua khop
M24.5,Cứng khớp,Contracture of joint,cac ton thuong dac hieu khac o khop | cung khop | các tổn thương đặc hiệu khác ở khớp
M24.6,Dính khớp,Ankylosis of joint,cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | dinh khop
M24.7,Lồi vào trong ổ cối (protrusioacetabuli),Protrusio acetabuli,cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | loi vao trong o coi (protrusioacetabuli)
M24.8,Các bệnh khớp đặc hiệu khác không xếp loại ở mục khác,"Other specific joint derangements, not elsewhere classified",cac benh khop dac hieu khac khong xep loai o muc khac | cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp
M24.9,Những bệnh lý khớp không đặc hiệu,"Joint derangement, unspecified",cac ton thuong dac hieu khac o khop | các tổn thương đặc hiệu khác ở khớp | nhung benh ly khop khong dac hieu
M25,"Bệnh khớp khác, không được xếp loại ở mục khác","Other joint disorders, not elsewhere classified","benh khop khac, khong duoc xep loai o muc khac | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.0,Chảy máu khớp,Haemarthrosis,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | chay mau khop | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.1,Rò khớp,Fistula of joint,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác | ro khop"
M25.2,Lỏng lẻo khớp,Flail joint,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác | long leo khop"
M25.3,Các tổn thương mất vững khác của khớp,Other instability of joint,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | cac ton thuong mat vung khac cua khop | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.4,Tràn dịch khớp,Effusion of joint,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác | tran dich khop"
M25.5,Đau khớp,Pain in joint,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | dau khop | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.6,"cứng khớp, không xếp loại ở mục khác","Stiffness of joint, not elsewhere classified","benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | cung khop, khong xep loai o muc khac | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.7,Gai xương,Osteophyte,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | gai xuong | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.8,Các bệnh khớp đặc hiệu khác,Other specified joint disorders,"benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | cac benh khop dac hieu khac | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M25.9,Các bệnh khớp không đặc hiệu,"Joint disorder, unspecified","benh khop khac, khong duoc xep loai o muc khac | bệnh khớp khác, không được xếp loại ở mục khác | cac benh khop khong dac hieu | khop khac, khong duoc xep loai o muc khac | khớp khác, không được xếp loại ở mục khác"
M30,Viêm nút quanh động mạch và bệnh liên quan,Polyarteritis nodosa and related conditions,viem nut quanh dong mach va benh lien quan
M30.0,Viêm đa động mạch hình nút,Polyarteritis nodosa,viem da dong mach hinh nut | viem nut quanh dong mach va benh lien quan | viêm nút quanh động mạch và bệnh liên quan
M30.1,Viêm đa động mạch có tổn thương phổi [Churg-Strauss],Polyarteritis with lung involvement [Churg-Strauss],viem da dong mach co ton thuong phoi [churg-strauss] | viem nut quanh dong mach va benh lien quan | viêm nút quanh động mạch và bệnh liên quan
M30.2,Viêm đa động mạch trẻ em,Juvenile polyarteritis,viem da dong mach tre em | viem nut quanh dong mach va benh lien quan | viêm nút quanh động mạch và bệnh liên quan
M30.3,Hội chứng hạch-da-niêm mạc [Kawasaki],Mucocutaneous lymph node syndrome [Kawasaki],hoi chung hach-da-niem mac [kawasaki] | viem nut quanh dong mach va benh lien quan | viêm nút quanh động mạch và bệnh liên quan
M30.8,Các bệnh khác liên quan đến viêm nút quanh động mạch,Other conditions related to polyarteritis nodosa,cac benh khac lien quan den viem nut quanh dong mach | viem nut quanh dong mach va benh lien quan | viêm nút quanh động mạch và bệnh liên quan
M31,Bệnh mạch máu hoại tử khác,Other necrotizing vasculopathies,benh mach mau hoai tu khac | mach mau hoai tu khac | mạch máu hoại tử khác
M31.0,Viêm đa mạch quá mẫn,Hypersensitivity angiitis,benh mach mau hoai tu khac | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | viem da mach qua man
M31.1,Bệnh vi mạch có huyết khối,Thrombotic microangiopathy,benh mach mau hoai tu khac | benh vi mach co huyet khoi | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | vi mach co huyet khoi | vi mạch có huyết khối
M31.2,Bệnh u hạt ác tính dòng giữa,Lethal midline granuloma,benh mach mau hoai tu khac | benh u hat ac tinh dong giua | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | u hat ac tinh dong giua | u hạt ác tính dòng giữa
M31.3,Bệnh u hạt Wegener,Wegener s granulomatosis,benh mach mau hoai tu khac | benh u hat wegener | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | u hat wegener | u hạt wegener
M31.4,Hội chứng quai động mạch chủ [Takayasu],Aortic arch syndrome [Takayasu],benh mach mau hoai tu khac | bệnh mạch máu hoại tử khác | hoi chung quai dong mach chu [takayasu] | mach mau hoai tu khac | mạch máu hoại tử khác
M31.5,Bệnh viêm động mạch tế bào khổng lồ với đau cơ dạng thấp,Giant cell arteritis with polymyalgia rheumatica,benh mach mau hoai tu khac | benh viem dong mach te bao khong lo voi dau co dang thap | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | viem dong mach te bao khong lo voi dau co dang thap | viêm động mạch tế bào khổng lồ với đau cơ dạng thấp
M31.6,Bệnh viêm động mạch có tế bào khổng lồ khác,Other giant cell arteritis,benh mach mau hoai tu khac | benh viem dong mach co te bao khong lo khac | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | viem dong mach co te bao khong lo khac | viêm động mạch có tế bào khổng lồ khác
M31.7,Viêm đa động mạch vi thể,Microscopic polyangiitis,benh mach mau hoai tu khac | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | viem da dong mach vi the
M31.8,Các bệnh viêm mạch đặc hiệu hoại tử khác,Other specified necrotizing vasculopathies,benh mach mau hoai tu khac | bệnh mạch máu hoại tử khác | cac benh viem mach dac hieu hoai tu khac | mach mau hoai tu khac | mạch máu hoại tử khác
M31.9,Viêm mạch hoại tử không đặc hiệu,"Necrotizing vasculopathy, unspecified",benh mach mau hoai tu khac | bệnh mạch máu hoại tử khác | mach mau hoai tu khac | mạch máu hoại tử khác | viem mach hoai tu khong dac hieu
M32,Lupus ban đỏ hệ thống,Systemic lupus erythematosus,lupus ban do he thong
M32.0,Bệnh Lupus ban đỏ hệ thống do thuốc,Drug-induced systemic lupus erythematosus,benh lupus ban do he thong do thuoc | lupus ban do he thong | lupus ban do he thong do thuoc | lupus ban đỏ hệ thống | lupus ban đỏ hệ thống do thuốc
M32.1†,Bệnh Lupus ban đỏ hệ thống có tổn thương phủ tạng,Systemic lupus erythematosus with organ or system involvement,benh lupus ban do he thong co ton thuong phu tang | lupus ban do he thong | lupus ban do he thong co ton thuong phu tang | lupus ban đỏ hệ thống | lupus ban đỏ hệ thống có tổn thương phủ tạng
M32.8,Các dạng khác của Lupus ban đỏ hệ thống,Other forms of systemic lupus erythematosus,cac dang khac cua lupus ban do he thong | lupus ban do he thong | lupus ban đỏ hệ thống
M32.9,Lupus ban đỏ hệ thống không đặc hiệu,"Systemic lupus erythematosus, unspecified",lupus ban do he thong | lupus ban do he thong khong dac hieu | lupus ban đỏ hệ thống
M33,Viêm da cơ,Dermatopolymyositis,viem da co
M33.0,Viêm da cơ trẻ em,Juvenile dermatomyositis,viem da co | viem da co tre em | viêm da cơ
M33.1,Các bệnh viêm da cơ khác,Other dermatomyositis,cac benh viem da co khac | viem da co | viêm da cơ
M33.2,Viêm đa cơ,Polymyositis,viem da co | viêm da cơ
M33.9,Viêm da cơ không đặc hiệu,"Dermatopolymyositis, unspecified",viem da co | viem da co khong dac hieu | viêm da cơ
M34,Xơ cứng toàn thể,Systemic sclerosis,xo cung toan the
M34.0,Xơ cứng bì toàn thể tiến triển,Progressive systemic sclerosis,xo cung bi toan the tien trien | xo cung toan the | xơ cứng toàn thể
M34.1,Hội chứng CR(E)ST,CR(E)ST syndrome,hoi chung cr(e)st | xo cung toan the | xơ cứng toàn thể
M34.2,Xơ cứng bì do dùng thuốc và hóa chất,Systemic sclerosis induced by drugs and chemicals,xo cung bi do dung thuoc va hoa chat | xo cung toan the | xơ cứng toàn thể
M34.8,Các dạng khác của xơ cứng bì toàn thể,Other forms of systemic sclerosis,cac dang khac cua xo cung bi toan the | xo cung toan the | xơ cứng toàn thể
M34.9,"Xơ cứng bì toàn thể, không đặc hiệu","Systemic sclerosis, unspecified","xo cung bi toan the, khong dac hieu | xo cung toan the | xơ cứng toàn thể"
M35,Các tổn thương hệ thống khác của mô liên kết,Other systemic involvement of connective tissue,cac ton thuong he thong khac cua mo lien ket
M35.0,Hội chứng khô (Hội chứng Sjogren),Sicca syndrome [Sjögren],cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | hoi chung kho (hoi chung sjogren)
M35.1,Các hội chứng trùng lắp khác,Other overlap syndromes,cac hoi chung trung lap khac | cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết
M35.2,Bệnh Behcet,Behçet s disease,behcet | benh behcet | cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết
M35.3,Bệnh đau cơ dạng thấp,Polymyalgia rheumatica,benh dau co dang thap | cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | dau co dang thap | đau cơ dạng thấp
M35.4,Viêm cân mạc lan toả (tăng bạch cầu ái toan),Diffuse (eosinophilic) fasciitis,cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | viem can mac lan toa (tang bach cau ai toan)
M35.5,Xơ cứng nhiều ổ,Multifocal fibrosclerosis,cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | xo cung nhieu o
M35.6,Viêm mô mỡ dưới da hay tái phát (Weber - Christian),Relapsing panniculitis [Weber-Christian],cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | viem mo mo duoi da hay tai phat (weber - christian)
M35.7,Hội chứng tăng vận động,Hypermobility syndrome,cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết | hoi chung tang van dong
M35.8,Các tổn thương hệ thống đặc hiệu khác của mô liên kết,Other specified systemic involvement of connective tissue,cac ton thuong he thong dac hieu khac cua mo lien ket | cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết
M35.9,"Các tổn thương hệ thống của mô liên kết, không đặc hiệu","Systemic involvement of connective tissue, unspecified","cac ton thuong he thong cua mo lien ket, khong dac hieu | cac ton thuong he thong khac cua mo lien ket | các tổn thương hệ thống khác của mô liên kết"
M36,Tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác,Systemic disorders of connective tissue in diseases classified elsewhere,ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac
M36*,Tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác,Systemic disorders of connective tissue in diseases classified elsewhere,ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac
M36.0*,Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†),Dermato(poly)myositis in neoplastic disease (C00-D48†),ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†)
M36.00*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), Nhiều vị trí","Dermato(poly)myositis in neoplastic disease (C00-D48†), Multiple sites","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), nhieu vi tri"
M36.01*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), vùng bả vai","Dermato(poly)myositis in neoplastic disease (C00-D48†), Shoulder region","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), vung ba vai"
M36.02*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), cánh tay","Dermato(poly)myositis in neoplastic disease (C00-D48†), Upper arm","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), canh tay"
M36.03*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), cẳng tay","Dermato(poly)myositis in neoplastic disease (C00-D48†), forearm","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), cang tay"
M36.04*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), bàn tay","Dermato(poly)myositis in neoplastic disease (C00-D48†), hand","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), ban tay"
M36.05*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), vùng chậu và đùi","Dermato(poly)myositis in neoplastic disease (C00-D48†), pelvic region and thigh","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), vung chau va dui"
M36.06*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), cẳng chân","Dermato(poly)myositis in neoplastic disease (C00-D48†), lower leg","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), cang chan"
M36.07*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), cổ, bàn chân","Dermato(poly)myositis in neoplastic disease (C00-D48†), ankle and foot","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), co, ban chan"
M36.08*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), vị trí khác","Dermato(poly)myositis in neoplastic disease (C00-D48†), other","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), vi tri khac"
M36.09*,"Viêm da cơ và viêm đa cơ tự miễn trong các bệnh lý khối u (C00-D48†), vị trí không xác định","Dermato(poly)myositis in neoplastic disease (C00-D48†), Site unspecified","ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác | viem da co va viem da co tu mien trong cac benh ly khoi u (c00-d48†), vi tri khong xac dinh"
M36.1*,Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†),Arthropathy in neoplastic disease (C00-D48†),benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†) | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†) | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†) | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác
M36.10*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), Nhiều vị trí","Arthropathy in neoplastic disease (C00-D48†), Multiple sites","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), nhieu vi tri | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), nhieu vi tri | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), nhiều vị trí | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.11*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), vùng bả vai","Arthropathy in neoplastic disease (C00-D48†), Shoulder region","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vung ba vai | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vung ba vai | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), vùng bả vai | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.12*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), cánh tay","Arthropathy in neoplastic disease (C00-D48†), Upper arm","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), canh tay | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), canh tay | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), cánh tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.13*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), cẳng tay","Arthropathy in neoplastic disease (C00-D48†), forearm","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), cang tay | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), cang tay | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), cẳng tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.14*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), bàn tay","Arthropathy in neoplastic disease (C00-D48†), hand","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), ban tay | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), ban tay | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), bàn tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.15*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), vùng chậu và đùi","Arthropathy in neoplastic disease (C00-D48†), pelvic region and thigh","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vung chau va dui | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vung chau va dui | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), vùng chậu và đùi | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.16*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), cẳng chân","Arthropathy in neoplastic disease (C00-D48†), lower leg","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), cang chan | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), cang chan | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), cẳng chân | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.17*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), cổ, bàn chân","Arthropathy in neoplastic disease (C00-D48†), ankle and foot","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), co, ban chan | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), co, ban chan | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), cổ, bàn chân | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.18*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), vị trí khác","Arthropathy in neoplastic disease (C00-D48†), other","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vi tri khac | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vi tri khac | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), vị trí khác | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.19*,"Bệnh khớp trong các bệnh ung thư đã được xếp ở mục khác (C00-D48†), vị trí không xác định","Arthropathy in neoplastic disease (C00-D48†), Site unspecified","benh khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vi tri khong xac dinh | khop trong cac benh ung thu da duoc xep o muc khac (c00-d48†), vi tri khong xac dinh | khớp trong các bệnh ung thư đã được xếp ở mục khác (c00-d48†), vị trí không xác định | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.2*,Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†),Haemophilic arthropathy (D66-D68†),ton thuong khop trong benh ua chay mau (d66-d68†) | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác
M36.20*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), Nhiều vị trí","Haemophilic arthropathy (D66-D68†), Multiple sites","ton thuong khop trong benh ua chay mau (d66-d68†), nhieu vi tri | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.21*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), vùng bả vai","Haemophilic arthropathy (D66-D68†), Shoulder region","ton thuong khop trong benh ua chay mau (d66-d68†), vung ba vai | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.22*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), cánh tay","Haemophilic arthropathy (D66-D68†), Upper arm","ton thuong khop trong benh ua chay mau (d66-d68†), canh tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.23*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), cẳng tay","Haemophilic arthropathy (D66-D68†), forearm","ton thuong khop trong benh ua chay mau (d66-d68†), cang tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.24*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), bàn tay","Haemophilic arthropathy (D66-D68†), hand","ton thuong khop trong benh ua chay mau (d66-d68†), ban tay | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.25*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), vùng chậu và đùi","Haemophilic arthropathy (D66-D68†), pelvic region and thigh","ton thuong khop trong benh ua chay mau (d66-d68†), vung chau va dui | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.26*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), cẳng chân","Haemophilic arthropathy (D66-D68†), lower leg","ton thuong khop trong benh ua chay mau (d66-d68†), cang chan | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.27*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), cổ, bàn chân","Haemophilic arthropathy (D66-D68†), ankle and foot","ton thuong khop trong benh ua chay mau (d66-d68†), co, ban chan | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.28*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), vị trí khác","Haemophilic arthropathy (D66-D68†), other","ton thuong khop trong benh ua chay mau (d66-d68†), vi tri khac | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.29*,"Tổn thương khớp trong bệnh ưa chảy máu (D66-D68†), vị trí không xác định","Haemophilic arthropathy (D66-D68†), Site unspecified","ton thuong khop trong benh ua chay mau (d66-d68†), vi tri khong xac dinh | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác"
M36.3*,Bệnh khớp trong các bệnh về máu khác (D50-D76†),Arthropathy in other blood disorders (D50-D76†),benh khop trong cac benh ve mau khac (d50-d76†) | khop trong cac benh ve mau khac (d50-d76†) | khớp trong các bệnh về máu khác (d50-d76†) | ton thuong mo lien ket he thong trong cac benh da duoc xep loai o muc khac | tổn thương mô liên kết hệ thống trong các bệnh đã được xếp loại ở mục khác
