code,tên bệnh VI,tên bệnh EN,synonym
A06.9,"Bệnh do amíp, không xác định","Amoebiasis, unspecified","benh do amip | benh do amip, khong xac dinh | bệnh do amíp | do amip | do amip, khong xac dinh | do amíp | do amíp, không xác định"
A07,Bệnh đường ruột do đơn bào khác,Other protozoal intestinal diseases,benh duong ruot do don bao khac | duong ruot do don bao khac | đường ruột do đơn bào khác
A07.0,Bệnh do Balantidium,Balantidiasis,benh do balantidium | benh duong ruot do don bao khac | bệnh đường ruột do đơn bào khác | do balantidium | duong ruot do don bao khac | đường ruột do đơn bào khác
A07.1,Bệnh do Giardia [lamblia],Giardiasis [lambliasis],benh do giardia [lamblia] | benh duong ruot do don bao khac | bệnh đường ruột do đơn bào khác | do giardia [lamblia] | duong ruot do don bao khac | đường ruột do đơn bào khác
A07.2,Bệnh do Cryptosporidia,Cryptosporidiosis,benh do cryptosporidia | benh duong ruot do don bao khac | bệnh đường ruột do đơn bào khác | do cryptosporidia | duong ruot do don bao khac | đường ruột do đơn bào khác
A07.3,Bệnh do lsospora,Isosporiasis,benh do lsospora | benh duong ruot do don bao khac | bệnh đường ruột do đơn bào khác | do lsospora | duong ruot do don bao khac | đường ruột do đơn bào khác
A07.8,Bệnh nhiễm trùng đường ruột do đơn bào xác định khác,Other specified protozoal intestinal diseases,benh duong ruot do don bao khac | benh nhiem trung duong ruot do don bao xac dinh khac | bệnh đường ruột do đơn bào khác | duong ruot do don bao khac | nhiem trung duong ruot do don bao xac dinh khac | nhiễm trùng đường ruột do đơn bào xác định khác | đường ruột do đơn bào khác
A07.9,"Bệnh đường ruột do đơn bào, không xác định","Protozoal intestinal disease, unspecified","benh duong ruot do don bao khac | benh duong ruot do don bao, khong xac dinh | bệnh đường ruột do đơn bào khác | duong ruot do don bao khac | duong ruot do don bao, khong xac dinh | đường ruột do đơn bào khác | đường ruột do đơn bào, không xác định"
A08,Nhiễm trùng đường ruột do virus và tác nhân xác định khác,Viral and other specified intestinal infections,nhiem trung duong ruot do virus va tac nhan xac dinh khac
A08.0,Viêm ruột do rotavirus,Rotaviral enteritis,nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiễm trùng đường ruột do virus và tác nhân xác định khác | viem ruot do rotavirus
A08.1,Bệnh lý dạ dày ruột cấp do tác nhân Norwalk,Acute gastroenteropathy due to Norwalk agent,benh ly da day ruot cap do tac nhan norwalk | ly da day ruot cap do tac nhan norwalk | lý dạ dày ruột cấp do tác nhân norwalk | nhiem trung duong ruot do virus va tac nhan xac dinh khac | nhiễm trùng đường ruột do virus và tác nhân xác định khác
